Block,Isolate,Cultivar_number,Cultivar_name,24,30,36,42,48,54,60,66,AUMPC (48),AUMPC (66 h),X__1,X__2,X__3,X__4
43,2D,16,IPR Juriti,0.26,0.719,1.308,1.746,2.329,3.18,3.487,3.565,33.525,91.209,NA,NA,NA,NA
47,2D,16,IPR Juriti,0.596,1.591,2.39,3.829,6.03,8.059,11.134,16.397,73.89,256.329,NA,NA,NA,NA
56,2D,16,IPR Juriti,0.319,0.84,1.658,2.55,4.859,6.509,8.961,12.156,49.650000000000006,193.51500000000001,NA,NA,NA,NA
64,2D,16,IPR Juriti,0.687,1.347,2.472,3.803,6.248,9.83,12.762,15.931,74.781,276.87,NA,NA,NA,NA
68,2D,16,IPR Juriti,0.382,0.771,1.477,2.255,3.508,5.643,8.235,11.698,43.272000000000006,172.15800000000002,NA,NA,NA,NA
5,2B,17,IPR Chopina,1.84,3.643,5.979,10.599,16.026,NA,NA,NA,197.004,NA,NA,NA,NA,NA
11,2B,17,IPR Chopina,1.228,3.27,6.133,8.725,14.977,NA,NA,NA,172.119,NA,NA,NA,NA,NA
17,2B,17,IPR Chopina,1.041,2.772,4.889,10.077,17.172,NA,NA,NA,173.559,NA,NA,NA,NA,NA
23,2B,17,IPR Chopina,1.395,3.854,6.688,11.555,16.337,NA,NA,NA,202.51800000000003,NA,NA,NA,NA,NA
28,2B,17,IPR Chopina,1.021,2.542,4.333,7.963,13.438,NA,NA,NA,144.657,NA,NA,NA,NA,NA
34,2B,17,IPR Chopina,1.721,4.202,6.635,10.7,16.222,NA,NA,NA,203.70300000000003,NA,NA,NA,NA,NA
37,2D,17,IPR Chopina,0.177,0.67,1.053,1.682,2.125,3.251,4.324,5.211,29.459999999999997,96.91799999999998,NA,NA,NA,NA
44,2D,17,IPR Chopina,0.003,0.268,0.609,1.404,2.129,3.166,4.09,5.275,20.118,85.86600000000001,NA,NA,NA,NA
