Section,Block,Isolate_number,Isolate,Collection,24 horas,30 horas,36 horas,42 horas,48 horas,AUMPD
2,9,19,977C,first,1.869,3.759,5.483,9.386,13.003,178.812
2,11,19,977C,first,3.091,4.9,9.398,15.41,16.24,273.333
2,14,19,977C,first,0.926,1.762,2.815,5.381,6.215,92.283
2,17,19,977C,first,2.519,4.49,7.186,10.581,17.433,223.626
2,19,19,977C,first,1.111,2.541,4.438,6.565,10.902,130.635
2,22,19,977C,first,2.068,4.64,6.994,9.131,14.604,199.422
2,23,19,977C,first,3.886,6.963,11.39,14.829,21.135,320.787
2,3,20,974C,first,NA,NA,NA,NA,NA,NA
2,5,20,974C,first,NA,NA,NA,NA,NA,NA
2,6,20,974C,first,NA,NA,NA,NA,NA,NA
2,10,20,974C,first,NA,NA,NA,NA,NA,NA
2,11,20,974C,first,NA,NA,NA,NA,NA,NA
2,14,20,974C,first,NA,NA,NA,NA,NA,NA
2,16,20,974C,first,NA,NA,NA,NA,NA,NA
2,19,20,974C,first,NA,NA,NA,NA,NA,NA
2,21,20,974C,first,NA,NA,NA,NA,NA,NA
2,23,20,974C,first,NA,NA,NA,NA,NA,NA
2,1,11,973A,second,1.265,2.811,5.188,9.209,13.037,161.334
2,5,11,973A,second,1.414,2.861,6.292,10.816,16.286,189.882
2,7,11,973A,second,0.831,1.802,2.557,4.301,6.704,84.537
2,9,11,973A,second,1.013,3.045,7.062,9.962,13.742,176.835
2,11,11,973A,second,0.555,1.748,2.779,4.72,7.831,87.3
2,14,11,973A,second,0.898,2.824,4.489,8.895,15.495,157.203
2,18,11,973A,second,1.208,3.804,5.843,9.588,14.54,177.15
2,19,11,973A,second,0.055,1.36,3.02,5.805,8.313,86.874
2,21,11,973A,second,1.49,4.694,6.739,9.797,13.99,191.7
2,25,11,973A,second,1.51,3.514,6.251,10.077,14.18,184.242
2,1,12,973E,second,0.731,1.845,3.627,6.357,8.464,107.331
2,5,12,973E,second,1.837,4.097,6.711,11.377,15.075,205.89
2,6,12,973E,second,2.184,4.51,8.06,13.764,17.261,242.547
2,8,12,973E,second,1.04,2.661,4.589,9.006,12.117,149.487
2,12,12,973E,second,1.479,3.25,6.863,10.754,15.627,194.268
2,13,12,973E,second,1.431,2.749,4.401,7.501,9.01,136.401
2,16,12,973E,second,0.984,3.442,5.676,10.821,15.737,181.605
2,18,12,973E,second,1.272,3.575,5.501,9.236,13.614,169.794
2,22,12,973E,second,1.599,3.953,6.875,10.026,12.213,185.748
2,25,12,973E,second,1.571,3.184,5.484,10.251,13.608,177.903
2,1,13,974B,second,NA,NA,NA,NA,NA,NA
2,4,13,974B,second,NA,NA,NA,NA,NA,NA
2,6,13,974B,second,NA,NA,NA,NA,NA,NA
2,8,13,974B,second,NA,NA,NA,NA,NA,NA
2,11,13,974B,second,NA,NA,NA,NA,NA,NA
2,15,13,974B,second,NA,NA,NA,NA,NA,NA
2,17,13,974B,second,NA,NA,NA,NA,NA,NA
2,18,13,974B,second,NA,NA,NA,NA,NA,NA
2,21,13,974B,second,NA,NA,NA,NA,NA,NA
2,25,13,974B,second,NA,NA,NA,NA,NA,NA
2,1,14,974E,second,1.01,2.609,4.342,7.614,9.419,130.797
2,4,14,974E,second,1.664,3.486,5.837,10.044,13.241,180.885
2,8,14,974E,second,0.979,1.979,4.135,8.391,11.893,137.394
2,9,14,974E,second,0.081,0.855,1.657,3.538,5.493,53.994
2,12,14,974E,second,0.867,1.463,2.765,4.238,5.837,81.312
2,15,14,974E,second,0.701,1.223,2.764,5.181,7.474,87.945
2,16,14,974E,second,0.501,1.382,3.324,5.733,7.832,93.645
2,20,14,974E,second,0.516,1.557,3.246,5.738,8.432,96.282
2,22,14,974E,second,0.726,1.577,2.93,5.067,8.06,92.514
2,25,14,974E,second,0.739,1.753,2.57,5.369,7.798,92.631
2,2,15,975D,second,0.281,0.991,1.826,3.459,4.883,56.52
2,3,15,975D,second,2.262,5.193,10.264,16.444,20.229,286.023
2,6,15,975D,second,2.403,4.45,7.353,11.207,14.205,216.72
2,9,15,975D,second,2.061,5.402,10.16,13.771,20.344,267.945
2,13,15,975D,second,1.406,3.558,5.617,11.008,14.444,185.52
2,14,15,975D,second,2.041,4.098,5.819,9.146,12.531,182.586
2,16,15,975D,second,2.072,4.309,7.207,10.48,14.844,207.588
2,20,15,975D,second,3.04,6.366,10.519,16.526,20.066,306.264
2,21,15,975D,second,1.034,2.757,5.701,10.293,13.736,169.224
2,24,15,975D,second,1.886,4.891,8.287,11.111,17.037,225.135
2,2,16,976B,second,1.516,3.75,7.121,12.174,15.48,207.45
2,4,16,976B,second,1.173,3.238,6.262,10.519,13.241,177.432
