Number,Section,Isolate number,Isolate,Collection,Area
954,3,36,6,first,15
955,3,36,6,first,16.887
956,3,36,6,first,17.393
957,3,36,6,first,18.116
958,3,36,6,first,17.266
959,3,36,6,first,14.847
960,3,36,6,first,16.828
961,3,37,29,first,10.341
962,3,37,29,first,7.421
963,3,37,29,first,14.806
964,3,37,29,first,8.946
965,3,37,29,first,9.649
966,3,37,29,first,10.274
967,3,37,29,first,12.143
968,3,37,29,first,16.322
969,3,37,29,first,8.382
970,3,37,29,first,9.878
971,3,38,8,first,17.666
972,3,38,8,first,12.094
973,3,38,8,first,12.501
974,3,38,8,first,17.535
975,3,38,8,first,13.373
976,3,38,8,first,3.109
977,3,38,8,first,10.014
978,3,38,8,first,13.28
979,3,38,8,first,14.295
980,3,38,8,first,18.271
981,3,39,16,first,7.339
982,3,39,16,first,14.213
983,3,39,16,first,14.351
984,3,39,16,first,14.891
985,3,39,16,first,15.483
986,3,39,16,first,6.434
987,3,39,16,first,9.331
988,3,39,16,first,14.526
989,3,39,16,first,11.461
990,3,39,16,first,11.088
991,3,40,20,first,6.419
992,3,40,20,first,9.484
993,3,40,20,first,8.087
994,3,40,20,first,5.294
995,3,40,20,first,6.371
996,3,40,20,first,9.003
997,3,40,20,first,3.182
998,3,40,20,first,5.813
999,3,40,20,first,3.75
1000,3,40,20,first,6.593
1001,3,41,24,first,3.962
1002,3,41,24,first,2.147
1003,3,41,24,first,3.276
1004,3,41,24,first,10.954
1005,3,41,24,first,7.881
1006,3,41,24,first,5.594
1007,3,41,24,first,9.65
1008,3,41,24,first,3.936
1009,3,41,24,first,5.932
1010,3,41,24,first,4.449
1011,3,42,1012,first,14.402
1012,3,42,1012,first,10.803
1013,3,42,1012,first,12.087
1014,3,42,1012,first,14.599
1015,3,42,1012,first,9.823
1016,3,42,1012,first,7.933
1017,3,42,1012,first,15.728
1018,3,42,1012,first,18.756
1019,3,42,1012,first,10.828
1020,3,42,1012,first,3.587
1021,3,43,13,first,10.964
1022,3,43,13,first,9.934
1023,3,43,13,first,13.128
1024,3,43,13,first,15.583
1025,3,43,13,first,14.666
1026,3,43,13,first,7.793
1027,3,43,13,first,15.301
1028,3,43,13,first,13.064
1029,3,43,13,first,12.842
1030,3,43,13,first,17.614
1031,3,44,33,first,13.836
1032,3,44,33,first,9.613
1033,3,44,33,first,17.415
1034,3,44,33,first,12.4
1035,3,44,33,first,15.325
1036,3,44,33,first,2.866
1037,3,44,33,first,12.757
1038,3,44,33,first,10.857
1039,3,44,33,first,16.351
1040,3,44,33,first,12.784
1041,3,45,26,first,5.328
1042,3,45,26,first,10.321
1043,3,45,26,first,6.218
1044,3,45,26,first,12.112
1045,3,45,26,first,5.185
1046,3,45,26,first,5.359
1047,3,45,26,first,8.128
1048,3,45,26,first,6.567
1049,3,45,26,first,9.487
1050,3,45,26,first,9.868
1051,3,31,1019,second,11.954
1052,3,31,1019,second,15.033
1053,3,31,1019,second,12.657
1054,3,31,1019,second,16.864
1055,3,31,1019,second,9.513
1056,3,31,1019,second,19.719
1057,3,31,1019,second,9.663
1058,3,31,1019,second,18.551
1059,3,31,1019,second,13.382
1060,3,31,1019,second,11.964
1061,3,32,1018,second,15.936
1062,3,32,1018,second,9.334
1063,3,32,1018,second,16.979
1064,3,32,1018,second,10.528
1065,3,32,1018,second,14.756
1066,3,32,1018,second,15.952
1067,3,32,1018,second,11.548
1068,3,32,1018,second,8.18
1069,3,32,1018,second,14.344
1070,3,32,1018,second,13.029
1071,3,33,1022,second,14.262
1072,3,33,1022,second,12.52
1073,3,33,1022,second,14.34
1074,3,33,1022,second,18.269
1075,3,33,1022,second,11.285
1076,3,33,1022,second,19.064
1077,3,33,1022,second,25.697
1078,3,33,1022,second,12.257
1079,3,33,1022,second,13.377
1080,3,33,1022,second,6.35
1081,3,34,1013,second,8.716
1082,3,34,1013,second,14.32
1083,3,34,1013,second,14.049
1084,3,34,1013,second,14.861
1085,3,34,1013,second,13.651
1086,3,34,1013,second,12.203
1087,3,34,1013,second,5.738
1088,3,34,1013,second,18.107
1089,3,34,1013,second,11.373
1090,3,34,1013,second,13.94
1091,3,35,1017,second,11.627
1092,3,35,1017,second,7.405
1093,3,35,1017,second,10.605
1094,3,35,1017,second,22.151
1095,3,35,1017,second,21.326
1096,3,35,1017,second,10.798
1097,3,35,1017,second,14.358
1098,3,35,1017,second,8.471
1099,3,35,1017,second,13.457
1100,3,35,1017,second,15.386
1101,3,36,6,second,12.158
1102,3,36,6,second,10.354
